Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.03,0.99,0.06,6.69,3.79,-9.17
-0.06,0.91,0.07,5.7,4.22,-9.32
-0.08,0.83,0.11,3.7,4.13,-5.71
-0.09,0.75,0.13,2.27,5.6,-2.41
-0.12,0.66,0.13,2.08,5.53,-1.18
-0.12,0.61,0.15,0.58,5.05,1.3
-0.11,0.55,0.13,0.01,1.87,2.02
-0.07,0.55,0.13,0.71,-2.69,1.86
-0.07,0.55,0.11,-0.33,-7.85,-1.62
-0.06,0.59,0.07,-3.55,-7.35,-6.68
-0.06,0.61,0.05,-7.12,-8.71,-9.19
-0.05,0.71,0.01,-9.21,-6.66,-5.62
-0.04,0.84,0.02,-9.34,-8.55,4.21
-0.01,0.89,0.01,-6.98,3.46,9.31
-0.01,0.99,0.02,-3.73,3.95,13.79
0.05,1.1,0.06,1.17,10.44,9.98
0.09,1.18,0.16,2.05,11.6,6.02
0.14,1.2,0.21,-1.66,11.14,8.37
0.16,1.25,0.23,-4.83,9.15,11.06
0.17,1.32,0.24,-6.82,6.82,14.54
0.14,1.42,0.28,-5.87,6.56,7.31
0.14,1.49,0.32,-4.52,10.87,-6.44
0.14,1.5,0.29,-4.44,6.94,-18.61
0.12,1.39,0.22,-4.89,4.02,-15.42
0.08,1.31,0.17,-2.13,0.3,-8.77
0.04,1.24,0.16,0.82,-1.67,-0.89
0.04,1.13,0.12,3.2,-4.89,5.07
0.01,0.99,0.1,3.98,-3.15,4.27
0.00,0.9,0.09,3.08,-1.59,5.3
0.01,0.76,0.09,1.29,-1.57,5.04
-0.01,0.67,0.09,-1.05,1.11,6.1
-0.01,0.6,0.09,-3.24,5.57,7.56
0.03,0.58,0.09,-5.47,12.1,6.44
0.03,0.59,0.1,-6.67,20.19,5.34
0.04,0.58,0.09,-6.05,27.03,6.97
0.01,0.57,0.08,-3.24,34.43,10.23
-0.01,0.54,0.06,0.56,39.46,14.66
-0.04,0.51,0.08,3.32,39.73,16.44
-0.07,0.53,0.08,5.57,36.05,9.21
-0.11,0.61,0.1,3.66,28.47,-5.5
-0.15,0.75,0.1,-0.15,28.93,-19.36
-0.16,0.94,0.11,-8.02,24.73,-28.07
-0.06,1.19,0.09,-14.47,20.87,-26.34
0.05,1.44,0.09,-16.56,13.16,-17.65
0.10,1.59,0.07,-15.53,7.26,-9.03
0.08,1.67,0.02,-12.51,3.27,-5.44
0.01,1.71,0,-9.77,-0.67,-8.42
0.03,1.67,-0.04,-1.88,0.5,-8.63
0.08,1.51,-0.02,8.04,1.95,2.17
0.10,1.37,-0.01,11.44,0.69,15.6
0.13,1.28,0,9.55,0.23,25.4
0.11,1.2,0,5.64,2.16,24.42
0.08,1.13,0.02,3,2.74,15.94
0.04,1.05,0,1.93,5.87,6.44
0.02,0.97,0.03,0.9,6.56,-1.04
-0.01,0.9,0.04,-0.85,5.63,-7.12
-0.01,0.84,0.05,-3.22,3.99,-12.05
-0.03,0.79,0.07,-5.85,3.76,-13.16
-0.06,0.74,0.06,-8.26,3.22,-13.27
-0.11,0.69,0.05,-10.27,2.96,-11.46
-0.14,0.61,0.09,-11.27,0.57,-10.48
-0.18,0.49,0.1,-10.53,-0.6,-10.61
-0.19,0.41,0.08,-8.92,-5.81,-12.04
-0.16,0.38,0.12,-7.34,-11.84,-9.59
-0.13,0.41,0.13,-7.21,-16.38,-1.3
-0.08,0.49,0.13,-7.2,-16.45,2.82
-0.06,0.61,0.16,-6.11,-14.45,6.62
-0.03,0.79,0.17,-5.82,-10.31,9.49
-0.05,1,0.2,-5.24,-11.15,0.65
-0.01,1.24,0.13,-2.02,2.31,5.69
0.01,1.54,0.13,2.96,9.44,3.16
0.10,1.74,0.22,14.13,10.36,-8.62
0.24,1.82,0.24,20.58,6.13,-18.26
0.28,1.65,0.29,16.69,-0.25,-4.55
0.20,1.47,0.25,8.03,-7,8.95
0.12,1.36,0.22,3.14,-16.16,19.73
0.08,1.3,0.21,3.6,-24.12,28.02
0.07,1.18,0.16,4.3,-28.43,24.04
0.07,1.09,0.16,5.37,-30.29,15.69
0.06,1.05,0.18,5.53,-28.07,9.32
0.03,1,0.21,4.1,-20.46,-1.15
0.00,0.97,0.18,3.5,-11.69,-12.76
-0.02,0.98,0.16,3.82,-4.02,-18.21
-0.04,0.96,0.12,4.69,-0.01,-18.76
-0.02,0.92,0.11,4.34,1.08,-13.23
-0.04,0.84,0.08,2.79,0.36,-5.74
-0.05,0.76,0.08,0.36,-1.58,1.32
-0.06,0.67,0.14,-2.52,-5.11,6.53
-0.08,0.58,0.1,-5.71,-3.49,9.32
-0.07,0.51,0.1,-6.06,0.41,11.82
-0.08,0.5,0.1,-3.58,3.89,12.36
-0.10,0.46,0.05,2.17,16.95,11.85
-0.10,0.51,0,8.32,26.38,9.44
-0.11,0.53,-0.01,13.88,32.95,4.65
-0.12,0.65,-0.04,16.46,34.22,-8.15
-0.14,0.86,-0.03,11.74,31.61,-21.24
-0.11,0.96,-0.01,3.62,24.35,-25.12
-0.03,1.17,0.08,-6.26,9.85,-28.83
0.09,1.37,0.12,-16.11,2.38,-14.76
0.18,1.55,0.13,-22.15,-3.21,6.52
0.13,1.63,0.08,-22.7,-3.81,8.12
0.03,1.63,0,-11.87,0.82,1.23
0.08,1.55,-0.05,7.73,9.47,-1.85
0.11,1.52,-0.04,21.6,8.73,-0.61
0.12,1.44,-0.03,25.51,9.73,6.6
0.11,1.35,-0.02,21.76,9.23,15.13
0.11,1.27,0.03,15.07,7.12,18.56
0.04,1.18,-0.02,8.12,5.96,11.29
0.03,1.06,-0.01,3.11,3.54,3.44
0.01,0.98,-0.01,-1.02,2.05,-3.09
-0.02,0.9,-0.02,-2.25,2.64,-7.42
-0.05,0.84,-0.02,-2.64,5.69,-11.08
-0.07,0.79,0.02,-3.21,6.97,-9.82
-0.12,0.72,0.04,-3.59,9.22,-8.69
-0.15,0.65,0.05,-4.56,8.95,-8.52
-0.17,0.52,0.07,-6.32,8.89,-6.11
-0.17,0.45,0.12,-6.74,9.39,-3.11
-0.19,0.42,0.1,-9.79,6.76,-4.39
-0.14,0.39,0.13,-11.92,-1.99,-8
-0.14,0.44,0.15,-15.56,-11.15,-10.79
-0.13,0.55,0.17,-20.61,-19.51,-7.92
-0.15,0.72,0.18,-24.66,-19.73,-3.76
-0.10,0.86,0.17,-22.66,-18.79,8.78
-0.09,1.03,0.17,-19.62,-9.05,11.9
-0.02,1.2,0.18,-14.34,-2.83,18.63
0.04,1.32,0.14,-5.24,-0.65,19.55
0.09,1.41,0.13,4.37,1.26,19.4
0.11,1.46,0.08,11.74,-1.63,16.21
0.14,1.49,0.12,13.66,-4.73,15.34
0.15,1.5,0.15,10.93,-6.37,7.74
0.16,1.49,0.2,5.16,-3.7,3.05
0.13,1.44,0.19,-0.57,-5.49,-6.59
0.11,1.36,0.19,-5.69,-6.14,-4.69
0.09,1.29,0.2,-7.41,-6.53,3.3
0.07,1.23,0.18,-5.27,-9.08,7.92
0.05,1.15,0.15,-0.55,-10.95,9.71
0.04,1.04,0.13,4.96,-10.02,10.11
0.03,0.92,0.13,9.29,-7.83,8.17
0.01,0.79,0.12,10.98,-5.11,4.22
-0.02,0.71,0.08,10.24,-0.02,2.34
-0.02,0.63,0.06,7.93,3.02,3.09
-0.02,0.58,0.05,4.69,7.69,1.85
-0.05,0.55,0.02,2.73,11.66,-0.92
-0.06,0.5,0.03,1.28,12.99,-3.32
